FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
우노 실버웨어,경기도 부천시 삼작로 156,41,41190,126.778675,37.51994,경기,2021-12-31
민화샵,경기도 부천시 수도로 88-23,41,41190,126.776617,37.51435,경기,2021-12-31
아리랑,경기도 부천시 옥산로168번길 10,41,41190,126.78081,37.508356,경기,2021-12-31
소느로공방,경기도 성남시 분당구 미금로 177 까치마을신원아파트,41,41135,127.11571,37.349669,경기,2021-12-31
한지카페공방,경기도 성남시 중원구 둔촌대로64번길 4-8,41,41133,127.125715,37.429056,경기,2021-12-31
누리아트,경기도 성남시 중원구 산성대로 508 옥산빌딩,41,41133,127.163228,37.45635,경기,2021-12-31
예스엠글로벌,경기도 수원시 팔달구 권광로 318 선경2차아파트,41,41115,127.037618,37.275144,경기,2021-12-31
유상공예,경기도 시흥시 범안로266번길 45 유상아트,41,41390,126.809053,37.458439,경기,2021-12-31
두레산업,경기도 시흥시 수인로3106번길 214,41,41390,126.827811,37.439227,경기,2021-12-31
승환기업,경기도 시흥시 신현로30번길 5-1,41,41390,126.785818,37.407104,경기,2021-12-31
안성맞춤 전통유기,경기도 안성시 거리미길 12-1,41,41550,127.277124,37.001242,경기,2021-12-31
안성여물통,경기도 안성시 삼죽면 서동대로 6400,41,41550,127.370795,37.062404,경기,2021-12-31
칠현산복조리,경기도 안성시 죽산면 칠장로 315,41,41173,127.405154,37.021102,경기,2021-12-31
지에프,경기도 안양시 동안구 귀인로190번길 90-19,41,41173,126.962372,37.38206,경기,2021-12-31
이창훈 전통공예교실,경기도 여주시 금사면 금사로 481,41,41730,127.518783,37.431183,경기,2021-12-31
토탈상사,경기도 오산시 성호새싹길 37-1,41,41370,127.070134,37.152414,경기,2021-12-31
최진사몰,경기도 용인시 기흥구 사은로 108 진양공예,41,41463,127.116662,37.255792,경기,2021-12-31
우리살림,경기도 용인시 처인구 낙은로 26,41,41461,127.198676,37.239606,경기,2021-12-31
신라전통공예도예관,경기도 의정부시 평화로 572,41,41150,127.046899,37.743026,경기,2021-12-31
김영준국보칠기,경기도 포천시 소흘읍 직동길 104,41,41650,127.165673,37.771354,경기,2021-12-31
장미화랑민속품,경기도 포천시 일동면 수입로157번길 21,41,41650,127.324348,37.980269,경기,2021-12-31
자개옻칠,경기도 하남시 미사강변동로 180 2층,41,41450,127.190595,37.57139,경기,2021-12-31
한국전통맥간공예중앙회,경기도 화성시 마도면 두곡길15번길 7,41,41590,126.782517,37.206486,경기,2021-12-31
서울민예칠기사,경기도 화성시 영천로 61,41,41590,127.105141,37.20811,경기,2021-12-31
덕희공방,강원도 원주시 무실로 17-1 골목공방 ‘덕희’,42,42130,127.949126,37.348404,강원,2021-12-31
